"base_model","shape","talla","rank","alpha","network","optimizer","ep","batch","gas","unet_lr","te_lr","sched","warm","snr","noise_off","wd","d_coef","workers","x_over"
"John6666/nova-anime-xl-pony-v5-sdxl","style","ECH","32","32","conv","adamw","32","4","1","2.4E-05","2.4E-06","constant_with_warmup","15","5","0.038","0.0001",,"4",""
"John6666/nova-anime-xl-pony-v5-sdxl","style","CH","32","32","conv","adamw","28","4","1","2.8E-05","2.8E-06","cosine","20","5","0.045","0.0001",,"4",""
"John6666/nova-anime-xl-pony-v5-sdxl","style","M","32","32","conv","adamw","26","6","1","3.2E-05","3.2E-06","cosine","30","5","0.048","0.0001",,"4",""
"John6666/nova-anime-xl-pony-v5-sdxl","style","G","32","32","conv","adamw","25","8","1","3E-05","3E-06","cosine","20","7","0.0411","0.0001",,"4",""
"John6666/nova-anime-xl-pony-v5-sdxl","style","EG","32","32","conv","adamw","16","10","1","4.2E-05","4.2E-06","cosine","50","5","0.058","0.0001",,"4",""
"John6666/nova-anime-xl-pony-v5-sdxl","subject","ECH","32","32","conv","prodigy","35","4","1","1.0","1.0","constant",,"5",,"0.01","1.2","4","caption_dropout_rate"
"John6666/nova-anime-xl-pony-v5-sdxl","subject","CH","32","32","conv","prodigy","30","4","1","1.0","1.0","constant",,"5",,"0.01","1.0","4","caption_dropout_rate"
"John6666/nova-anime-xl-pony-v5-sdxl","subject","M","32","32","conv","prodigy","26","6","1","1.0","1.0","constant",,"5",,"0.01","1.0","4","caption_dropout_rate"
"John6666/nova-anime-xl-pony-v5-sdxl","subject","G","32","32","conv","prodigy","22","8","1","1.0","1.0","constant",,"5",,"0.01","1.0","6","caption_dropout_rate"
"John6666/nova-anime-xl-pony-v5-sdxl","subject","EG","32","32","conv","prodigy","16","10","1","1.0","1.0","constant",,"5",,"0.01","1.0","8","caption_dropout_rate"
"KBlueLeaf/Kohaku-XL-Zeta","style","ECH","32","32","conv","adamw","43","4","2","3.2E-05","1.6E-06","constant_with_warmup","30","5","0.025","0.00015",,"4","caption_dropout_rate;huber_c;huber_schedule"
"KBlueLeaf/Kohaku-XL-Zeta","style","CH","32","32","conv","adamw","20","4","1","2E-05","2E-06","cosine","25","8","0.0357","0.0001",,"2",""
"KBlueLeaf/Kohaku-XL-Zeta","style","M","32","32","conv","adamw","10","8","1","3.2E-05","1.6E-06","cosine","30","5","0.025","0.00015",,"4","caption_dropout_rate;huber_c;huber_schedule"
"KBlueLeaf/Kohaku-XL-Zeta","style","G","32","32","conv","adamw","13","8","1","3.6E-05","1.8E-06","cosine","30","6","0.035","0.0001",,"6",""
"KBlueLeaf/Kohaku-XL-Zeta","style","EG","32","32","conv","adamw","11","12","1","4E-05","2E-06","cosine","120","6","0.04","0.0001",,"8",""
